Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
"Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh",31.00,6.20,6.00,Tây - Bắc,Tây - Bắc,3,4,3,Have certificate,Full,6.80
"Đường Bùi Tá Hán, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",65.00,5.50,7.00,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,4.70
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",45.00,3.50,2.00,Đông - Nam,Đông - Bắc,4,4,3,Have certificate,Basic,4.95
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",30.00,6.00,2.00,Đông,Đông,6,3,4,Have certificate,Basic,4.60
"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",42.00,5.60,3.00,Đông,Đông,5,3,4,Have certificate,Basic,8.50
"Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",40.00,4.25,3.00,Tây - Nam,Tây - Nam,5,4,4,Have certificate,Full,6.30
"Đường 7, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",52.00,4.50,8.00,Bắc,Bắc,4,4,3,Have certificate,Basic,7.20
"Xã Phụng Châu, Chương Mỹ, Hà Nội",34.00,4.25,3.00,Bắc,Bắc,3,3,3,Have certificate,Basic,2.10
"Đường Lê Văn Chí, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",51.00,4.20,12.00,Tây - Nam,Tây - Nam,2,3,4,Have certificate,Basic,6.00
"Xã Đông La, Hoài Đức, Hà Nội",40.00,3.70,4.00,Đông - Nam,Đông - Nam,6,4,4,Have certificate,Basic,3.25
"Đường Tỉnh Lộ 422B, Xã Vân Canh, Hoài Đức, Hà Nội",30.00,3.40,4.00,Tây - Nam,Tây - Nam,5,3,4,Have certificate,Full,4.10
"Xã Đại Thành, Quốc Oai, Hà Nội",45.00,4.30,5.00,Nam,Nam,3,3,3,Have certificate,Full,2.65
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",31.00,3.60,3.00,Tây - Bắc,Tây - Bắc,5,4,3,Have certificate,Basic,4.55
"Ngõ 298, Đường Ngọc Hồi, Xã Tam Hiệp, Thanh Trì, Hà Nội",35.00,4.00,5.00,Đông,Đông,4,4,3,Have certificate,Basic,6.50
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60.00,4.00,13.00,Đông - Nam,Đông - Nam,5,5,5,Have certificate,Full,8.60
"Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",102.60,7.00,3.00,Đông,Đông,1,2,2,Have certificate,Full,5.60
"Đường Huỳnh Văn Nghệ, Phường Bửu Long, Biên Hòa, Đồng Nai",198.50,9.00,10.00,Đông - Nam,Đông - Nam,2,4,3,Have certificate,Full,8.00
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60.00,4.00,13.00,Tây - Bắc,Tây - Bắc,5,7,4,Have certificate,Basic,8.60
"Dự án Vĩnh Điềm Trung, Đường B1, Xã Vĩnh Hiệp, Nha Trang, Khánh Hòa",90.80,6.00,16.00,Đông - Bắc,Đông - Bắc,4,5,6,Have certificate,Full,8.50
"Hẻm 1234, Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",98.70,6.00,3.00,Đông - Nam,Đông - Nam,2,7,4,Have certificate,Basic,5.20
"76/10/24 Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",54.00,3.80,4.00,Tây,Tây,2,2,2,Have certificate,Full,5.65
"Phố Đồng Nhân, Xã Đông La, Hoài Đức, Hà Nội",36.00,4.00,5.00,Đông - Bắc,Tây - Nam,3,3,3,Have certificate,Full,3.00
"Dự án Flamingo Golden Hill, Đường Quốc lộ 21A(Quốc lộ 21), Thị trấn Ba Sao, Kim Bảng, Hà Nam",105.00,7.00,15.00,Đông,Đông,4,6,4,Have certificate,Basic,6.70
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",33.00,4.00,4.00,Nam,Nam,5,4,4,Have certificate,Full,5.00
"Đường 1, Xã Bình Chánh, Bình Chánh, Hồ Chí Minh",75.00,5.00,8.00,Đông - Nam,Đông - Nam,2,3,2,Have certificate,Full,2.25
"Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",60.00,4.00,9.00,Đông,Đông,3,5,5,Have certificate,Basic,7.60
"Đường Quốc lộ 6, Xã Phụng Châu, Chương Mỹ, Hà Nội",35.00,4.00,4.00,Đông - Bắc,Đông - Bắc,3,4,3,Have certificate,Full,2.40
"Đường Thanh Đa, Phường 27, Bình Thạnh, Hồ Chí Minh",157.00,10.00,3.00,Đông - Nam,Tây - Nam,4,7,7,Have certificate,Basic,10.00
"Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",70.00,7.00,2.50,Tây - Bắc,Tây - Nam,4,4,4,Have certificate,Full,9.80
"Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",37.00,4.60,3.50,Bắc,Bắc,6,4,3,Have certificate,Full,7.50
"Tả Thanh Oai, Thanh Trì, Hà Nội",30.00,3.50,3.00,Tây - Nam,Tây - Nam,5,3,4,Have certificate,Basic,3.20
"Phường Kiến Hưng, Quận Hà Đông, Hà Nội",36.00,4.50,20.00,Đông,Đông,4,3,4,Have certificate,Basic,4.00
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60.00,4.00,20.00,Tây - Bắc,Tây - Bắc,5,6,4,Have certificate,Basic,8.60
"Đường Trưng Nữ Vương, Phường  Hòa Thuận Đông, Hải Châu, Đà Nẵng",44.00,4.50,10.00,Đông - Nam,Đông - Nam,4,3,3,Have certificate,Full,8.50
"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",63.00,4.70,3.00,Nam,Nam,4,4,3,Have certificate,Basic,8.60
"Đường Đậu Yên, Phường Trung Đô, Vinh, Nghệ An",175.00,10.00,9.00,Đông,Đông,3,5,3,Have certificate,Full,9.10
"Đường La Tinh, Xã Đông La, Hoài Đức, Hà Nội",30.50,4.00,3.00,Tây - Nam,Tây - Nam,4,3,3,Have certificate,Full,2.65
"Đường Nguyễn Văn Trỗi, Phường Cẩm Thuỷ, Cẩm Phả, Quảng Ninh",127.00,9.00,5.00,Bắc,Đông - Bắc,1,2,1,Have certificate,Basic,2.16
"Đường Lý Sơn, Phường Thượng Thanh, Long Biên, Hà Nội",32.00,3.50,3.00,Đông - Nam,Đông - Nam,4,3,3,Have certificate,Full,3.95
"Phố Lạch Tray, Phường Đằng Giang, Ngô Quyền, Hải Phòng",50.00,4.00,3.00,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,2.75
"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",50.00,5.00,2.00,Tây - Bắc,Tây - Bắc,6,4,5,Have certificate,Basic,6.50
"đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội",70.00,4.50,2.50,Tây - Bắc,Tây - Bắc,5,5,5,Have certificate,Basic,10.00
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",53.00,3.50,7.00,Tây - Bắc,Tây - Bắc,5,8,5,Have certificate,Full,8.80
"783A, Đường Cao Lỗ, Phường 14, Quận 8, Hồ Chí Minh",64.00,4.00,16.00,Tây - Bắc,Tây - Bắc,3,4,4,Have certificate,Full,10.00
"Dự án Mega Ruby, Đường D3, Phường Phú Hữu, Quận 9, Hồ Chí Minh",82.50,5.00,12.00,Tây,Tây,3,3,3,Have certificate,Full,9.30
"Đường Liên Cơ, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",35.00,3.70,3.00,Đông - Bắc,Đông - Bắc,7,4,5,Have certificate,Full,9.00
"Dự án Centa City, Đường Hữu Nghị, Phường Phù Chẩn, Từ Sơn, Bắc Ninh",120.00,6.00,56.00,Nam,Nam,3,4,3,Have certificate,Basic,8.60
"Ngõ 28, Đường Tứ Liên, Phường Tứ Liên, Tây Hồ, Hà Nội",64.50,4.00,6.00,Nam,Nam,4,6,4,Have certificate,Basic,8.50
"Đường Lữ Gia, Phường 9, Đà Lạt, Lâm Đồng",125.00,10.00,4.00,Tây - Bắc,Tây - Bắc,3,5,6,Have certificate,Full,8.30
"Đường Ông Ích Đường, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",43.00,3.50,15.00,Tây - Bắc,Tây - Bắc,2,2,2,Have certificate,Full,3.90
"Đường 12, Phường Trường Thạnh, Thủ Đức, Hồ Chí Minh",53.80,4.50,8.00,Đông - Bắc,Đông,4,3,3,Have certificate,Full,4.70
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",150.00,10.00,16.00,Đông - Nam,Đông - Nam,2,3,3,Sale contract,Full,8.60
"Vinhomes Ocean Park Gia Lâm, Đường 5A, Xã Dương Xá, Gia Lâm, Hà Nội",56.00,6.00,30.00,Tây - Bắc,Tây - Bắc,1,1,1,Have certificate,Basic,7.00
"Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",74.00,4.00,10.00,Bắc,Tây - Bắc,3,4,4,Have certificate,Full,6.05
"Đường Đằng Hải, Phường  Đằng Hải, Hải An, Hải Phòng",48.00,5.00,4.00,Nam,Nam,3,3,3,Have certificate,Basic,2.40
"Ngõ 105, Đường Lê Lợi, Phường Thắng Nhì, Vũng Tàu, Bà Rịa Vũng Tàu",60.50,4.50,4.00,Đông - Nam,Đông - Nam,3,3,2,Have certificate,Basic,4.25
"Chung cư Viện 103, Đường Yên Xá, Xã Tân Triều, Thanh Trì, Hà Nội",32.00,5.00,5.00,Đông,Đông,5,4,4,Have certificate,Full,5.50
"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",132.00,4.00,6.00,Đông,Đông,1,2,1,Have certificate,Basic,7.50
"Dự án Flamingo Golden Hill, Đường Quốc lộ 21A(Quốc lộ 21), Thị trấn Ba Sao, Kim Bảng, Hà Nam",127.00,8.00,15.00,Đông,Đông,4,6,4,Have certificate,Basic,7.70
"Đường Thạnh Xuân 21, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",72.00,4.00,6.00,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Basic,4.60
"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",33.00,3.30,2.00,Tây - Nam,Tây - Nam,4,3,3,Have certificate,Full,4.20
"7H/15/351, Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",56.00,4.80,3.00,Đông - Nam,Đông - Nam,6,4,4,Have certificate,Basic,5.30
"Đường 32, Phường Minh Khai, Bắc Từ Liêm, Hà Nội.",61.50,4.00,5.00,Tây - Nam,Tây - Nam,3,5,5,Have certificate,Full,7.80
"Đường Hoàng Minh Chánh, Phường Hóa An, Biên Hòa, Đồng Nai",60.00,4.20,8.00,Đông,Đông,2,3,2,Have certificate,Full,2.75
"Dự án Centa Riverside, Đường Hữu Nghị, Phường Phù Chẩn, Từ Sơn, Bắc Ninh",100.00,6.00,15.20,Nam,Nam,3,4,3,Sale contract,Basic,6.46
"Dự án Vườn Vua Resort & Villas, Xã Đồng Trung, Thanh Thủy, Phú Thọ",322.00,18.00,15.00,Đông - Nam,Đông - Nam,2,4,3,Have certificate,Full,6.30
"Đường Trần Khát Chân, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",40.00,5.00,2.00,Đông,Đông,3,3,2,Have certificate,Full,5.33
"Dự án Him Lam Hùng Vương, Số nhà 576 Phường Hùng Vương, Hồng Bàng, Hải Phòng",44.00,4.00,10.00,Tây - Bắc,Tây - Bắc,4,4,3,Have certificate,Basic,2.95
"156, Đường An Dương Vương, Phường 16, Quận 8, Hồ Chí Minh",65.00,5.00,12.00,Đông,Đông,6,4,4,Have certificate,Basic,6.80
"Đường 8, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",100.00,5.00,5.00,Đông - Nam,Đông - Nam,4,7,7,Have certificate,Basic,9.50
"Dự án Mega Village, Đường Vành Đai 2, Phường Phú Hữu, Quận 9, Hồ Chí Minh",75.00,5.00,20.00,Tây - Nam,Tây - Nam,3,4,3,Have certificate,Full,6.70
"Dự án Ivory Villas & Resort, Đường Quốc lộ 6, Xã Lâm Sơn, Lương Sơn, Hòa Bình",400.00,20.00,40.00,Nam,Nam,4,4,3,Have certificate,Full,6.30
"Hẻm 602/97, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",47.10,4.30,2.00,Tây,Đông,2,3,2,Have certificate,Basic,5.40
"Dự án River Park, Đường Võ Chí Công, Phường Phước Long B, Quận 9, Hồ Chí Minh.",75.00,5.00,10.00,Tây,Tây,3,4,4,Have certificate,Full,9.80
"Đường Ngô Quyền, Phường Hà Cầu, Hà Đông, Hà Nội",30.50,3.05,4.00,Đông - Bắc,Đông - Bắc,5,3,4,Have certificate,Full,6.40
"Đường Số 9, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",60.00,4.00,8.00,Tây - Bắc,Tây - Bắc,4,4,5,Have certificate,Basic,8.10
"Đường 389, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",60.00,4.50,8.00,Đông - Nam,Đông - Nam,3,4,3,Have certificate,Basic,6.80
"Đường Dã Tượng, Phường Vĩnh Nguyên, Nha Trang, Khánh Hòa",95.00,5.20,6.00,Nam,Nam,2,3,3,Have certificate,Basic,7.55
"Đường Đào Tông Nguyên, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",64.00,10.00,10.00,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,7.50
"Số 9 ngõ 72/1/138, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",40.00,3.50,2.00,Đông - Nam,Đông - Nam,6,8,8,Have certificate,Full,6.98
"Dự án Vinhomes Royal Island, Xã Thủy Triều, Thủy Nguyên, Hải Phòng",67.50,4.50,9.00,Đông - Nam,Đông - Nam,4,3,3,Have certificate,Basic,9.00
"Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",66.00,6.00,6.00,Đông - Bắc,Đông - Nam,4,4,4,Have certificate,Full,10.00
"Phường 9, Tân Bình, Hồ Chí Minh",44.00,5.00,5.00,Đông,Đông,2,2,1,Have certificate,Basic,3.90
"Dự án Flamingo Hải Tiến, Xã Hoằng Trường, Hoằng Hóa, Thanh Hóa",96.00,8.00,20.00,Tây - Bắc,Tây - Bắc,4,5,6,Sale contract,Full,8.50
"Đường 70, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",79.00,5.30,2.50,Đông,Đông,4,4,6,Have certificate,Full,7.00
"Đường Yên Khê, Phường Thanh Khê Tây, Thanh Khê, Đà Nẵng",64.50,4.20,3.00,Nam,Nam,2,2,2,Have certificate,Full,2.60
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",42.00,4.50,2.00,Đông - Nam,Đông - Nam,4,3,3,Have certificate,Basic,7.90
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",35.00,4.00,3.00,Đông - Nam,Đông - Nam,5,3,4,Have certificate,Full,4.60
"Kiệt 110 Phan Thanh, Phường Thạc Gián, Thanh Khê, Đà Nẵng",38.00,5.10,3.00,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,3.30
"532/15/16, Đường Lê Trọng Tấn, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",68.00,3.80,6.00,Tây - Nam,Tây - Nam,2,3,2,Have certificate,Full,5.95
"Đường Thạnh Xuân 24, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",58.00,4.00,5.00,Đông - Nam,Đông - Nam,3,3,3,Have certificate,Full,3.95
"Ngõ 640, Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",45.00,6.00,7.00,Tây - Nam,Tây - Bắc,5,3,3,Have certificate,Full,9.30
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",70.00,3.30,4.00,Tây,Tây,5,5,4,Have certificate,Full,6.85
"Đường Nguyễn Thời Trung, Phường Thạch Bàn, Long Biên, Hà Nội",75.00,4.50,3.00,Tây - Bắc,Tây - Bắc,4,4,3,Have certificate,Full,9.50
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",40.00,3.50,2.00,Đông - Nam,Đông - Nam,4,4,3,Have certificate,Basic,5.00
"Phố Mai Phúc, Phường Phúc Đồng, Long Biên, Hà Nội",43.00,4.00,4.00,Tây - Bắc,Đông - Bắc,6,3,4,Have certificate,Basic,8.25
"Đường Thạnh Lộc 41, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",53.00,5.00,4.00,Tây - Nam,Tây - Nam,1,2,2,Have certificate,Full,3.85
"Dự án Mega Ruby, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",75.00,5.00,12.00,Bắc,Bắc,3,3,3,Have certificate,Full,8.20
"Dự án Mega Ruby, Phường Phú Hữu, Quận 9, Hồ Chí Minh",92.50,5.00,20.00,Nam,Nam,3,4,3,Have certificate,Full,9.25
"1942 Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",49.50,4.50,4.00,Tây - Bắc,Tây - Bắc,2,3,2,Have certificate,Basic,3.60
"Đường Man Thiện, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",85.00,5.50,5.00,Đông - Nam,Đông - Nam,1,5,5,Have certificate,Full,5.00
"Đường Vĩnh Khê, Xã An Đồng, An Dương, Hải Phòng",51.00,4.10,2.50,Tây - Nam,Tây - Nam,3,3,2,Have certificate,Basic,2.27
"Đường Số 8, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",75.00,4.50,8.00,Tây - Nam,Tây - Nam,1,3,1,Have certificate,Full,6.50
"Đường Phú Thiện, Xã Vĩnh Thạnh, Nha Trang, Khánh Hòa",79.20,9.00,5.00,Đông - Bắc,Đông - Bắc,2,2,2,Have certificate,Basic,2.60
"Đường Số 21A, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",90.00,4.00,8.00,Bắc,Bắc,3,4,5,Have certificate,Full,9.20
"Đường Bành Văn Trân, Phường 7, Tân Bình, Hồ Chí Minh",27.00,3.00,3.00,Đông - Nam,Đông - Nam,2,2,2,Have certificate,Full,4.15
"Dự án The Ocean Villas Quy Nhơn, Đường Quốc Lộ 19B, Xã Cát Tiến, Phù Cát, Bình Định",240.00,10.00,10.00,Tây - Nam,Đông - Nam,2,3,3,Have certificate,Basic,7.80
"Green River quận 8, 2225, Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh",151.00,7.50,12.00,Đông - Nam,Đông - Nam,2,2,3,Have certificate,Basic,5.20
"Đường Hậu Ái, Xã Vân Canh, Hoài Đức, Hà Nội",36.00,4.00,4.00,Nam,Nam,5,3,3,Have certificate,Full,3.80
"Đường Tân Hòa Đông, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",80.00,51.00,3.00,Tây,Tây,2,3,2,Have certificate,Full,4.58
"Đường Lê Đại Hành, Phường 11, Quận 11, Hồ Chí Minh",21.00,5.00,8.00,Đông - Nam,Đông - Nam,2,2,2,Have certificate,Basic,3.80
"Dự án Meyhomes Capital, Đường 975, Phường An Thới, Phú Quốc, Kiên Giang",117.00,6.50,12.00,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Basic,6.90
"Đường Phạm Cự Lượng, Phường An Hải Đông, Sơn Trà, Đà Nẵng",55.00,4.00,7.50,Đông,Đông,3,3,2,Have certificate,Basic,6.90
"Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",40.00,3.00,6.00,Tây - Nam,Tây - Nam,2,3,2,Have certificate,Basic,4.68
"Dự án Phúc Lộc Viên, Đường Ngô Quyền, Phường  An Hải Bắc, Sơn Trà, Đà Nẵng",150.00,7.50,7.50,Đông - Bắc,Đông - Bắc,2,4,3,Have certificate,Full,9.80
"Đường Lũng Đông, Phường  Đằng Hải, Hải An, Hải Phòng",66.00,4.60,12.00,Nam,Nam,4,4,4,Have certificate,Full,4.79
"Đường 193 Văn Cao, Phường Đằng Lâm, Hải An, Hải Phòng",83.00,4.20,12.00,Nam,Nam,4,4,4,Have certificate,Basic,6.20
"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh",75.00,5.00,12.00,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,8.20
"654, Đường Ngô Gia Tự, Phường Thành Tô, Hải An, Hải Phòng",40.00,4.00,6.00,Nam,Nam,4,3,3,Have certificate,Basic,3.95
"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh",75.00,5.00,12.00,Đông - Bắc,Tây - Nam,3,3,3,Have certificate,Full,8.49
"Đường Lê Hồng Phong, Phường  Đằng Hải, Hải An, Hải Phòng",120.00,8.00,18.00,Tây - Bắc,Tây - Bắc,3,4,4,Have certificate,Full,8.68
"1/, Đường Số 13A, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",24.00,3.00,3.00,Đông,Đông,1,2,2,Have certificate,Basic,2.75
"Lô 16, Đường Lê Hồng Phong, Phường Đằng Lâm, Hải An, Hải Phòng",60.00,4.00,15.00,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,7.50
"Ngõ 18, Đường Thanh Lãm, Phường Phú Lãm, Hà Đông, Hà Nội",32.00,3.80,2.00,Tây - Nam,Tây - Nam,5,3,4,Have certificate,Full,3.82
"Đường Thống Nhất, Phường 15, Gò Vấp, Hồ Chí Minh",100.00,6.00,6.00,Tây,Tây,2,6,4,Have certificate,Full,7.50
"Đường Nguyễn Văn Tỏ, Phường Hóa An, Biên Hòa, Đồng Nai",70.00,6.00,5.00,Tây,Tây,3,5,3,Have certificate,Full,3.50
"Phường Dịch Vọng, Cầu Giấy, Hà Nội",50.00,4.00,10.00,Bắc,Bắc,4,4,5,Have certificate,Full,8.15
"Dự án NovaWorld Phan Thiết, Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận",160.00,8.00,13.00,Đông - Nam,Đông - Nam,1,3,3,Sale contract,Full,5.90
"Đường Số 9, Phường Linh Xuân, Thành phố Thủ Đức, Hồ Chí Minh",60.00,5.00,5.00,Tây - Bắc,Tây - Bắc,2,3,4,Have certificate,Full,4.40
"Phường Hòa Thuận Tây, Hải Châu, Đà Nẵng",82.00,6.50,5.50,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,6.80
"Đường DX 006, Phường Phú Mỹ, Thủ Dầu Một, Bình Dương",106.00,6.00,5.00,Bắc,Bắc,1,3,2,Have certificate,Full,3.75
"Hẻm 288, Đường Huỳnh Văn Lũy, Phường Phú Lợi, Thủ Dầu Một, Bình Dương",95.00,5.00,4.00,Tây - Nam,Tây - Nam,2,4,4,Have certificate,Basic,3.28
"Đường Huỳnh Văn Cù, Phường Chánh Mỹ, Thủ Dầu Một, Bình Dương",125.00,5.00,5.00,Đông - Nam,Đông - Nam,1,3,2,Have certificate,Basic,2.95
"Đường Bùi Quốc Khánh, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",70.00,5.00,4.00,Tây - Nam,Tây - Nam,3,4,3,Have certificate,Full,4.50
"Đường DX 031, Phường Phú Mỹ, Thủ Dầu Một, Bình Dương",73.00,5.00,6.00,Đông,Đông,2,3,2,Have certificate,Basic,2.95
"Đường Nguyễn Đức Thuận, Phường Hiệp Thành, Thủ Dầu Một, Bình Dương",79.40,5.00,5.00,Đông - Bắc,Đông - Bắc,1,3,2,Have certificate,Full,2.95
"Đường D6, Phường Phú Tân, Thủ Dầu Một, Bình Dương",150.00,5.00,8.00,Tây,Tây,2,3,2,Have certificate,Basic,4.10
"Đường Hồ Văn Cống, Phường Tương Bình Hiệp, Thủ Dầu Một, Bình Dương",90.00,4.00,5.00,Tây - Bắc,Tây - Bắc,1,3,2,Have certificate,Full,2.28
"Đường Vườn Lài, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",64.00,4.00,7.00,Đông - Bắc,Đông - Bắc,3,3,3,Have certificate,Full,4.85
"Đường Do Nha, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",39.00,7.20,2.30,Tây - Nam,Tây - Nam,4,5,3,Have certificate,Full,4.50
